filename,label,source_id
src00_v0.png,clear,0
src00_v1.png,clear,0
src00_v2.png,clear,0
src00_v3.png,clear,0
src00_v4.png,unclear,0
src00_v5.png,unclear,0
src00_v6.png,unclear,0
src00_v7.png,unclear,0
src01_v0.png,clear,1
src01_v1.png,clear,1
src01_v2.png,clear,1
src01_v3.png,clear,1
src01_v4.png,unclear,1
src01_v5.png,unclear,1
src01_v6.png,unclear,1
src01_v7.png,unclear,1
src02_v0.png,clear,2
src02_v1.png,clear,2
src02_v2.png,clear,2
src02_v3.png,clear,2
src02_v4.png,unclear,2
src02_v5.png,unclear,2
src02_v6.png,unclear,2
src02_v7.png,unclear,2
src03_v0.png,clear,3
src03_v1.png,clear,3
src03_v2.png,clear,3
src03_v3.png,clear,3
src03_v4.png,unclear,3
src03_v5.png,unclear,3
src03_v6.png,unclear,3
src03_v7.png,unclear,3
src04_v0.png,clear,4
src04_v1.png,clear,4
src04_v2.png,clear,4
src04_v3.png,clear,4
src04_v4.png,unclear,4
src04_v5.png,unclear,4
src04_v6.png,unclear,4
src04_v7.png,unclear,4
src05_v0.png,clear,5
src05_v1.png,clear,5
src05_v2.png,clear,5
src05_v3.png,clear,5
src05_v4.png,unclear,5
src05_v5.png,unclear,5
src05_v6.png,unclear,5
src05_v7.png,unclear,5
src06_v0.png,clear,6
src06_v1.png,clear,6
src06_v2.png,clear,6
src06_v3.png,clear,6
src06_v4.png,unclear,6
src06_v5.png,unclear,6
src06_v6.png,unclear,6
src06_v7.png,unclear,6
src07_v0.png,clear,7
src07_v1.png,clear,7
src07_v2.png,clear,7
src07_v3.png,clear,7
src07_v4.png,unclear,7
src07_v5.png,unclear,7
src07_v6.png,unclear,7
src07_v7.png,unclear,7
src08_v0.png,clear,8
src08_v1.png,clear,8
src08_v2.png,clear,8
src08_v3.png,clear,8
src08_v4.png,unclear,8
src08_v5.png,unclear,8
src08_v6.png,unclear,8
src08_v7.png,unclear,8
src09_v0.png,clear,9
src09_v1.png,clear,9
src09_v2.png,clear,9
src09_v3.png,clear,9
src09_v4.png,unclear,9
src09_v5.png,unclear,9
src09_v6.png,unclear,9
src09_v7.png,unclear,9
